pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
82.0928,-133.858492,90.0,top,,,,,,tht
80.743337,-137.288492,180.0,top,,,,,,tht
96.3168,-133.8834,0.0,top,,,,,,tht
80.488337,-133.858492,0.0,top,,,,,,tht
94.742,-146.6088,0.0,top,,,,,,tht
82.1428,-146.608492,90.0,top,,,,,,tht
93.1418,-146.5834,0.0,top,,,,,,tht
80.538337,-146.608492,0.0,top,,,,,,tht
96.033337,-137.308492,180.0,top,,,,,,tht
93.1164,-133.8834,0.0,top,,,,,,tht
96.3422,-146.6088,0.0,top,,,,,,tht
94.7166,-133.8834,0.0,top,,,,,,tht
93.423337,-143.208492,180.0,bottom,D1,,,Diode_SOD-123,Diode,smt
88.333337,-135.038492,0.0,top,D2,,,LED_SK6812MINI,LED_SK6812MINI,tht
88.3797,-139.7435,0.0,top,S1,,,Kailh_socket_PG1350,Keyswitch,smt
