Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,LCSC,Description
C1,1,10n,C_0603_1608Metric,,,,smt,C19666,
"C10, C11",2,1uF,C_0603_1608Metric,,,,smt,C15849,
"C2, C7",2,100n,C_0603_1608Metric,,,,smt,C19666,
C3,1,3.3u/16V,C_0603_1608Metric,,,,smt,C19666,"Polarized capacitor, small symbol"
C6,1,100n (X7R),C_0603_1608Metric,,,,smt,C19666,
C8,1,10u (X7R),C_0603_1608Metric,,,,smt,C19666,
C9,1,10n (X7R),C_0603_1608Metric,,,,smt,C19666,
J3,1,trackball,Wuerth_WR-WTB_64800611622_1x06_P1.50mm_Vertical,,,,tht,,"Generic connector, single row, 01x06, script generated"
R1,1,2M,R_0603_1608Metric,,,,smt,,
U1,1,MCP1700x-180xxTT,SOT-23,,,,smt,,"250mA Low Quiscent Current LDO, 1.8V output, SOT-23"
U2,1,PMW3610,PMW3610,,,,tht,,
